id;category_id;title;condition;car_year;brand;model;version;engine;engine_power;doors;km;fuel_type;traction_control;passenger_capacity;transmission;currency;price;seller_id;seller_nickname;is_car_shop;seller_country;seller_state;seller_city;seller_neighborhood
MLA1652323016;MLA1744;Volkswagen Gol Power 1.6 Trendline 2006 3p;Usado;2006;Volkswagen;Gol;1.6 I Power 601 3 p;1.6;92 hp;3;120000 km;Nafta;Delantera;5;Manual;ARS;4500000;146329396;SYO AUTOMOTORES;FALSO;Argentina;Bs.As. G.B.A. Norte;General San Martín;Villa Maipú
MLA1406284319;MLA1744;Volkswagen Gol 1.4 5p Power Plus 2012;Usado;2012;Volkswagen;Gol;1.4 Power 83cv;1.4;83 hp;5;124658 km;Nafta;Delantera;5;Manual;ARS;7762000;180823864;SACURAUTOS;FALSO;Argentina;Córdoba;Córdoba;Los Naranjos
MLA1632822822;MLA1744;Vw Gol Power 1.6 3 Ptas;Usado;2007;Volkswagen;Gol;1.6 I Power 601;1.6;92 hp;3;202500 km;Nafta;Delantera;5;Manual;USD;4000;264977556;VERAJOM;FALSO;Argentina;Bs.As. G.B.A. Norte;Pilar;Pilar
MLA1637507472;MLA1744;Volkswagen Gol Trend 2010 1.6 Pack Iii 101cv;Usado;2010;Volkswagen;Gol;1.6 I Trendline Plus;1.6;92 hp;5;200000 km;Nafta;Delantera;5;Manual;USD;5290;27836230;CHARLIE BROKER;FALSO;Argentina;Bs.As. G.B.A. Norte;Pilar;Pilar
MLA1401245941;MLA1744;Volkswagen Gol 2008 1.6 I Comfortline 60a;Usado;2008;Volkswagen;Gol;1.6 I Comfortline 60a;1.6;92 hp;5;158000 km;Nafta;Delantera;5;Manual;ARS;6900000;345683479;AUTOTEI CONCESIONARIA;FALSO;Argentina;Córdoba;Córdoba;
MLA1652377264;MLA1744;Volkswagen Gol 3 Puertas 1.4 Nafta 2013;Usado;2013;Volkswagen;Gol;1.4 Power 83cv 3 p;1.4;83 hp;3;138000 km;Nafta;Delantera;5;Manual;USD;5500;115148300;COLLUR AUTOS;FALSO;Argentina;Bs.As. G.B.A. Sur;La Plata;Tolosa
MLA1648311196;MLA1744;Volkswagen Gol 1.4 Power 83cv;Usado;2011;Volkswagen;Gol;1.4 Power 83cv;1.4;83 hp;3;140000 km;Nafta;Delantera;5;Manual;USD;5000;542229259;EMILIANOEZEQUIELAVILA;FALSO;Argentina;Capital Federal;Capital Federal;Floresta
MLA1403154213;MLA1744;Volkswagen Gol;Usado;2006;Volkswagen;Gol;1.6 I Power 601 3 p;1.6;92 hp;3;125000 km;Nafta;Delantera;5;Manual;USD;4500;1409892484;AUTO.RED;FALSO;Argentina;Capital Federal;Capital Federal;Núñez
MLA1606384464;MLA1744;Volkswagen Gol Power Aa/dh 1.4n 3ptas | 2013;Usado;2013;Volkswagen;Gol;1.4 Power 83cv 3 p;1.4;83 hp;3;82000 km;Nafta;Delantera;5;Manual;ARS;7289000;185181003;AUTOFAMILY;FALSO;Argentina;Córdoba;Villa Carlos Paz;Miguel Muñoz
MLA1398947661;MLA1744;Volkswagen Gol 2013 1.4 Power 83cv 3 P;Usado;2013;Volkswagen;Gol;1.4 Power 83cv 3 p;1.4;83 hp;3;120000 km;Nafta;Delantera;5;Manual;ARS;6000000;24890236;GREEN CARS;FALSO;Argentina;Bs.As. G.B.A. Norte;Pilar;
